Label,Facility,Meter
Main (kW),ahs,3007360
DHB (kW),ahs,3017359
DG (kW),ahs,3017523
DE (kW),ahs,3017605
DL (kW),ahs,3017769
M1 (kW),ahs,3017441
AMDP (kW),ahs,3017687
Main (kWh),ahs,3007361
DHB (kWh),ahs,3017360
DG (kWh),ahs,3017524
DE (kWh),ahs,3017606
DL (kWh),ahs,3017770
M1 (kWh),ahs,3017442
AMDP (kWh),ahs,3017688
