Label,Facility,Meter
Main (kW),ahs,3007360
DHB (kW),ahs,3017359
DG (kW),ahs,3017523
DE (kW),ahs,3017605
DL (kW),ahs,3017769
M1 (kW),ahs,3017441
AMDP (kW),ahs,3017687

